,#NCBI_GeneID,gencodeId,HGNC_ID,geneSymbol,name,refseq,RefSeq_prot,transcriptId,Ensembl_prot,MANE_status,GRCh38_chr,chr_start,chr_end,chr_strand
404,GeneID:607,ENSG00000116128,HGNC:1008,BCL9,BCL9 transcription coactivator,NM_004326,NP_004317.2,ENST00000234739,ENSP00000234739.3,MANE Select,1,147541501,147626216,+
405,GeneID:608,ENSG00000048462,HGNC:11913,TNFRSF17,TNF receptor superfamily member 17,NM_001192,NP_001183.2,ENST00000053243,ENSP00000053243.1,MANE Select,16,11965210,11968068,+
406,GeneID:610,ENSG00000099822,HGNC:4846,HCN2,hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2,NM_001194,NP_001185.3,ENST00000251287,ENSP00000251287.1,MANE Select,19,589881,617159,+
407,GeneID:611,ENSG00000128617,HGNC:1012,OPN1SW,"opsin 1, short wave sensitive",NM_001385125,NP_001372054.1,ENST00000249389,ENSP00000249389.3,MANE Select,7,128772485,128775794,-
408,GeneID:613,ENSG00000186716,HGNC:1014,BCR,BCR activator of RhoGEF and GTPase,NM_004327,NP_004318.3,ENST00000305877,ENSP00000303507.8,MANE Select,22,23180509,23318037,+
409,GeneID:617,ENSG00000074582,HGNC:1020,BCS1L,"BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone",NM_001079866,NP_001073335.1,ENST00000359273,ENSP00000352219.3,MANE Select,2,218659683,218663443,+
410,GeneID:622,ENSG00000161267,HGNC:1027,BDH1,3-hydroxybutyrate dehydrogenase 1,NM_203314,NP_976059.1,ENST00000392379,ENSP00000376184.1,MANE Select,3,197509783,197555968,-
411,GeneID:623,ENSG00000100739,HGNC:1029,BDKRB1,bradykinin receptor B1,NM_000710,NP_000701.2,ENST00000216629,ENSP00000216629.6,MANE Select,14,96256210,96264763,+
412,GeneID:624,ENSG00000168398,HGNC:1030,BDKRB2,bradykinin receptor B2,NM_001379692,NP_001366621.1,ENST00000554311,ENSP00000450482.1,MANE Select,14,96204839,96244164,+
413,GeneID:627,ENSG00000176697,HGNC:1033,BDNF,brain derived neurotrophic factor,NM_001709,NP_001700.2,ENST00000356660,ENSP00000349084.4,MANE Select,11,27654893,27700455,-
414,GeneID:629,ENSG00000243649,HGNC:1037,CFB,complement factor B,NM_001710,NP_001701.2,ENST00000425368,ENSP00000416561.2,MANE Select,6,31946095,31952084,+
415,GeneID:631,ENSG00000125864,HGNC:1040,BFSP1,beaded filament structural protein 1,NM_001195,NP_001186.1,ENST00000377873,ENSP00000367104.3,MANE Select,20,17493905,17531379,-
416,GeneID:632,ENSG00000242252,HGNC:1043,BGLAP,bone gamma-carboxyglutamate protein,NM_199173,NP_954642.1,ENST00000368272,ENSP00000357255.4,MANE Select,1,156242184,156243317,+
417,GeneID:633,ENSG00000182492,HGNC:1044,BGN,biglycan,NM_001711,NP_001702.1,ENST00000331595,ENSP00000327336.4,MANE Select,X,153494980,153509546,+
418,GeneID:634,ENSG00000079385,HGNC:1814,CEACAM1,CEA cell adhesion molecule 1,NM_001712,NP_001703.2,ENST00000161559,ENSP00000161559.6,MANE Select,19,42507306,42528481,-
419,GeneID:635,ENSG00000145692,HGNC:1047,BHMT,betaine--homocysteine S-methyltransferase,NM_001713,NP_001704.2,ENST00000274353,ENSP00000274353.5,MANE Select,5,79111809,79132288,+
420,GeneID:636,ENSG00000151746,HGNC:1049,BICD1,BICD cargo adaptor 1,NM_001714,NP_001705.2,ENST00000652176,ENSP00000498700.1,MANE Select,12,32106847,32383633,+
421,GeneID:637,ENSG00000015475,HGNC:1050,BID,BH3 interacting domain death agonist,NM_001196,NP_001187.1,ENST00000622694,ENSP00000480414.1,MANE Select,22,17734138,17774469,-
422,GeneID:638,ENSG00000100290,HGNC:1051,BIK,BCL2 interacting killer,NM_001197,NP_001188.1,ENST00000216115,ENSP00000216115.2,MANE Select,22,43110750,43129712,+
423,GeneID:639,ENSG00000057657,HGNC:9346,PRDM1,PR/SET domain 1,NM_001198,NP_001189.2,ENST00000369096,ENSP00000358092.4,MANE Select,6,106086336,106109938,+
424,GeneID:640,ENSG00000136573,HGNC:1057,BLK,"BLK proto-oncogene, Src family tyrosine kinase",NM_001715,NP_001706.2,ENST00000259089,ENSP00000259089.4,MANE Select,8,11494387,11564599,+
425,GeneID:641,ENSG00000197299,HGNC:1058,BLM,BLM RecQ like helicase,NM_000057,NP_000048.1,ENST00000355112,ENSP00000347232.3,MANE Select,15,90717346,90816166,+
426,GeneID:642,ENSG00000108578,HGNC:1059,BLMH,bleomycin hydrolase,NM_000386,NP_000377.1,ENST00000261714,ENSP00000261714.6,MANE Select,17,30248203,30291944,-
427,GeneID:643,ENSG00000160683,HGNC:1060,CXCR5,C-X-C motif chemokine receptor 5,NM_001716,NP_001707.1,ENST00000292174,ENSP00000292174.4,MANE Select,11,118883892,118897787,+
428,GeneID:644,ENSG00000106605,HGNC:1062,BLVRA,biliverdin reductase A,NM_000712,NP_000703.2,ENST00000265523,ENSP00000265523.4,MANE Select,7,43758680,43807342,+
429,GeneID:645,ENSG00000090013,HGNC:1063,BLVRB,biliverdin reductase B,NM_000713,NP_000704.1,ENST00000263368,ENSP00000263368.3,MANE Select,19,40447768,40465745,-
430,GeneID:646,ENSG00000169594,HGNC:1081,BNC1,basonuclin 1,NM_001717,NP_001708.3,ENST00000345382,ENSP00000307041.2,MANE Select,15,83255884,83284664,-
431,GeneID:648,ENSG00000168283,HGNC:1066,BMI1,"BMI1 proto-oncogene, polycomb ring finger",NM_005180,NP_005171.4,ENST00000376663,ENSP00000365851.3,MANE Select,10,22321099,22331484,+
432,GeneID:649,ENSG00000168487,HGNC:1067,BMP1,bone morphogenetic protein 1,NM_001199,NP_001190.1,ENST00000306349,ENSP00000306121.8,MANE Plus Clinical,8,22165372,22201482,+
433,GeneID:649,ENSG00000168487,HGNC:1067,BMP1,bone morphogenetic protein 1,NM_006129,NP_006120.1,ENST00000306385,ENSP00000305714.5,MANE Select,8,22165372,22212326,+
434,GeneID:650,ENSG00000125845,HGNC:1069,BMP2,bone morphogenetic protein 2,NM_001200,NP_001191.1,ENST00000378827,ENSP00000368104.3,MANE Select,20,6767686,6780246,+
435,GeneID:651,ENSG00000152785,HGNC:1070,BMP3,bone morphogenetic protein 3,NM_001201,NP_001192.4,ENST00000282701,ENSP00000282701.2,MANE Select,4,81030708,81057627,+
436,GeneID:652,ENSG00000125378,HGNC:1071,BMP4,bone morphogenetic protein 4,NM_001202,NP_001193.2,ENST00000245451,ENSP00000245451.4,MANE Select,14,53949736,53956825,-
437,GeneID:653,ENSG00000112175,HGNC:1072,BMP5,bone morphogenetic protein 5,NM_021073,NP_066551.1,ENST00000370830,ENSP00000359866.3,MANE Select,6,55753653,55875590,-
438,GeneID:654,ENSG00000153162,HGNC:1073,BMP6,bone morphogenetic protein 6,NM_001718,NP_001709.1,ENST00000283147,ENSP00000283147.6,MANE Select,6,7726099,7881728,+
439,GeneID:655,ENSG00000101144,HGNC:1074,BMP7,bone morphogenetic protein 7,NM_001719,NP_001710.1,ENST00000395863,ENSP00000379204.3,MANE Select,20,57168753,57266641,-
440,GeneID:656,ENSG00000116985,HGNC:1075,BMP8B,bone morphogenetic protein 8b,NM_001720,NP_001711.2,ENST00000372827,ENSP00000361915.3,MANE Select,1,39757182,39788865,-
441,GeneID:657,ENSG00000107779,HGNC:1076,BMPR1A,bone morphogenetic protein receptor type 1A,NM_004329,NP_004320.2,ENST00000372037,ENSP00000361107.2,MANE Select,10,86756619,86927969,+
442,GeneID:658,ENSG00000138696,HGNC:1077,BMPR1B,bone morphogenetic protein receptor type 1B,NM_001203,NP_001194.1,ENST00000515059,ENSP00000426617.1,MANE Select,4,94757955,95158448,+
443,GeneID:659,ENSG00000204217,HGNC:1078,BMPR2,bone morphogenetic protein receptor type 2,NM_001204,NP_001195.2,ENST00000374580,ENSP00000363708.4,MANE Select,2,202376327,202567749,+
444,GeneID:660,ENSG00000102010,HGNC:1079,BMX,BMX non-receptor tyrosine kinase,NM_203281,NP_975010.1,ENST00000348343,ENSP00000308774.6,MANE Select,X,15500807,15556519,+
445,GeneID:661,ENSG00000168495,HGNC:1080,POLR3D,RNA polymerase III subunit D,NM_001722,NP_001713.2,ENST00000306433,ENSP00000303088.4,MANE Select,8,22245133,22254601,+
446,GeneID:662,ENSG00000113734,HGNC:1082,BNIP1,BCL2 interacting protein 1,NM_001205,NP_001196.2,ENST00000351486,ENSP00000239215.7,MANE Select,5,173144531,173164387,+
447,GeneID:663,ENSG00000140299,HGNC:1083,BNIP2,BCL2 interacting protein 2,NM_004330,NP_004321.3,ENST00000607373,ENSP00000475320.1,MANE Select,15,59659146,59689320,-
448,GeneID:665,ENSG00000104765,HGNC:1085,BNIP3L,BCL2 interacting protein 3 like,NM_004331,NP_004322.1,ENST00000380629,ENSP00000370003.2,MANE Select,8,26383054,26413127,+
449,GeneID:666,ENSG00000176720,HGNC:1087,BOK,BCL2 family apoptosis regulator BOK,NM_032515,NP_115904.1,ENST00000318407,ENSP00000314132.3,MANE Select,2,241558745,241574131,+
450,GeneID:667,ENSG00000151914,HGNC:1090,DST,dystonin,NM_001723,NP_001714.1,ENST00000370765,ENSP00000359801.6,MANE Plus Clinical,6,56614597,56642889,-
451,GeneID:667,ENSG00000151914,HGNC:1090,DST,dystonin,NM_001374736,NP_001361665.1,ENST00000680361,ENSP00000505098.1,MANE Select,6,56457996,56954830,-
452,GeneID:668,ENSG00000183770,HGNC:1092,FOXL2,forkhead box L2,NM_023067,NP_075555.1,ENST00000648323,ENSP00000497217.1,MANE Select,3,138944224,138947137,-
453,GeneID:669,ENSG00000172331,HGNC:1093,BPGM,bisphosphoglycerate mutase,NM_001724,NP_001715.1,ENST00000344924,ENSP00000342032.3,MANE Select,7,134646853,134679816,+
454,GeneID:670,ENSG00000137274,HGNC:1094,BPHL,biphenyl hydrolase like,NM_004332,NP_004323.2,ENST00000380379,ENSP00000369739.5,MANE Select,6,3118711,3153578,+
455,GeneID:671,ENSG00000101425,HGNC:1095,BPI,bactericidal permeability increasing protein,NM_001725,NP_001716.3,ENST00000642449,ENSP00000494528.2,MANE Select,20,38304156,38337505,+
456,GeneID:672,ENSG00000012048,HGNC:1100,BRCA1,BRCA1 DNA repair associated,NM_007294,NP_009225.1,ENST00000357654,ENSP00000350283.3,MANE Select,17,43044295,43125364,-
457,GeneID:673,ENSG00000157764,HGNC:1097,BRAF,"B-Raf proto-oncogene, serine/threonine kinase",NM_001374258,NP_001361187.1,ENST00000644969,ENSP00000496776.1,MANE Select,7,140719337,140924929,-
458,GeneID:675,ENSG00000139618,HGNC:1101,BRCA2,BRCA2 DNA repair associated,NM_000059,NP_000050.3,ENST00000380152,ENSP00000369497.3,MANE Select,13,32315508,32400268,+
459,GeneID:676,ENSG00000137948,HGNC:1105,BRDT,bromodomain testis associated,NM_207189,NP_997072.2,ENST00000399546,ENSP00000387822.3,MANE Select,1,91949401,92014421,+
460,GeneID:677,ENSG00000185650,HGNC:1107,ZFP36L1,ZFP36 ring finger protein like 1,NM_004926,NP_004917.2,ENST00000439696,ENSP00000388402.2,MANE Select,14,68787662,68793067,-
461,GeneID:678,ENSG00000152518,HGNC:1108,ZFP36L2,ZFP36 ring finger protein like 2,NM_006887,NP_008818.3,ENST00000282388,ENSP00000282388.3,MANE Select,2,43222402,43226606,-
462,GeneID:680,ENSG00000102239,HGNC:1113,BRS3,bombesin receptor subtype 3,NM_001727,NP_001718.1,ENST00000370648,ENSP00000359682.3,MANE Select,X,136487947,136493780,+
463,GeneID:682,ENSG00000172270,HGNC:1116,BSG,basigin (Ok blood group),NM_001728,NP_001719.2,ENST00000333511,ENSP00000333769.3,MANE Select,19,572596,583493,+
464,GeneID:683,ENSG00000109743,HGNC:1118,BST1,bone marrow stromal cell antigen 1,NM_004334,NP_004325.2,ENST00000265016,ENSP00000265016.4,MANE Select,4,15703065,15732787,+
465,GeneID:684,ENSG00000130303,HGNC:1119,BST2,bone marrow stromal cell antigen 2,NM_004335,NP_004326.1,ENST00000252593,ENSP00000252593.6,MANE Select,19,17402939,17405630,-
466,GeneID:685,ENSG00000174808,HGNC:1121,BTC,betacellulin,NM_001729,NP_001720.1,ENST00000395743,ENSP00000379092.3,MANE Select,4,74744759,74794523,-
467,GeneID:686,ENSG00000169814,HGNC:1122,BTD,biotinidase,NM_001370658,NP_001357587.1,ENST00000643237,ENSP00000495254.2,MANE Select,3,15601745,15653714,+
468,GeneID:687,ENSG00000119138,HGNC:1123,KLF9,Kruppel like factor 9,NM_001206,NP_001197.1,ENST00000377126,ENSP00000366330.2,MANE Select,9,70384604,70414657,-
469,GeneID:688,ENSG00000102554,HGNC:6349,KLF5,Kruppel like factor 5,NM_001730,NP_001721.2,ENST00000377687,ENSP00000366915.4,MANE Select,13,73059005,73077538,+
470,GeneID:694,ENSG00000133639,HGNC:1130,BTG1,BTG anti-proliferation factor 1,NM_001731,NP_001722.1,ENST00000256015,ENSP00000256015.3,MANE Select,12,92140278,92145846,-
471,GeneID:695,ENSG00000010671,HGNC:1133,BTK,Bruton tyrosine kinase,NM_000061,NP_000052.1,ENST00000308731,ENSP00000308176.8,MANE Select,X,101349450,101386191,-
472,GeneID:696,ENSG00000124557,HGNC:1135,BTN1A1,butyrophilin subfamily 1 member A1,NM_001732,NP_001723.2,ENST00000684113,ENSP00000507193.1,MANE Select,6,26500303,26510425,+
473,GeneID:699,ENSG00000169679,HGNC:1148,BUB1,BUB1 mitotic checkpoint serine/threonine kinase,NM_004336,NP_004327.1,ENST00000302759,ENSP00000302530.6,MANE Select,2,110637528,110678063,-
474,GeneID:701,ENSG00000156970,HGNC:1149,BUB1B,BUB1 mitotic checkpoint serine/threonine kinase B,NM_001211,NP_001202.5,ENST00000287598,ENSP00000287598.7,MANE Select,15,40161069,40221123,+
475,GeneID:705,ENSG00000112578,HGNC:1157,BYSL,bystin like,NM_004053,NP_004044.3,ENST00000230340,ENSP00000230340.4,MANE Select,6,41921499,41933046,+
476,GeneID:706,ENSG00000100300,HGNC:1158,TSPO,translocator protein,NM_000714,NP_000705.2,ENST00000337554,ENSP00000338004.3,MANE Select,22,43151559,43163242,+
477,GeneID:708,ENSG00000108561,HGNC:1243,C1QBP,complement C1q binding protein,NM_001212,NP_001203.1,ENST00000225698,ENSP00000225698.4,MANE Select,17,5432777,5439155,-
478,GeneID:710,ENSG00000149131,HGNC:1228,SERPING1,serpin family G member 1,NM_000062,NP_000053.2,ENST00000278407,ENSP00000278407.4,MANE Select,11,57597685,57614848,+
479,GeneID:712,ENSG00000173372,HGNC:1241,C1QA,complement C1q A chain,NM_015991,NP_057075.1,ENST00000374642,ENSP00000363773.3,MANE Select,1,22636628,22639678,+
480,GeneID:713,ENSG00000173369,HGNC:1242,C1QB,complement C1q B chain,NM_001378156,NP_001365085.1,ENST00000509305,ENSP00000423689.1,MANE Select,1,22653236,22661637,+
481,GeneID:714,ENSG00000159189,HGNC:1245,C1QC,complement C1q C chain,NM_172369,NP_758957.2,ENST00000374640,ENSP00000363771.4,MANE Select,1,22643633,22648108,+
482,GeneID:715,ENSG00000159403,HGNC:1246,C1R,complement C1r,NM_001733,NP_001724.4,ENST00000647956,ENSP00000497341.1,MANE Select,12,7080219,7092445,-
483,GeneID:716,ENSG00000182326,HGNC:1247,C1S,complement C1s,NM_001734,NP_001725.1,ENST00000360817,ENSP00000354057.5,MANE Select,12,7060718,7071032,+
484,GeneID:717,ENSG00000166278,HGNC:1248,C2,complement C2,NM_000063,NP_000054.2,ENST00000299367,ENSP00000299367.5,MANE Select,6,31927717,31945672,+
485,GeneID:718,ENSG00000125730,HGNC:1318,C3,complement C3,NM_000064,NP_000055.2,ENST00000245907,ENSP00000245907.4,MANE Select,19,6677704,6720650,-
486,GeneID:719,ENSG00000171860,HGNC:1319,C3AR1,complement C3a receptor 1,NM_004054,NP_004045.1,ENST00000307637,ENSP00000302079.4,MANE Select,12,8056844,8066359,-
487,GeneID:720,ENSG00000244731,HGNC:1323,C4A,complement C4A (Rodgers blood group),NM_007293,NP_009224.2,ENST00000428956,ENSP00000396688.2,MANE Select,6,31982057,32002681,+
488,GeneID:721,ENSG00000224389,HGNC:1324,C4B,complement C4B (Chido blood group),NM_001002029,NP_001002029.3,ENST00000435363,ENSP00000415941.2,MANE Select,6,32014795,32035418,+
489,GeneID:722,ENSG00000123838,HGNC:1325,C4BPA,complement component 4 binding protein alpha,NM_000715,NP_000706.1,ENST00000367070,ENSP00000356037.3,MANE Select,1,207104233,207144972,+
490,GeneID:725,ENSG00000123843,HGNC:1328,C4BPB,complement component 4 binding protein beta,NM_001017365,NP_001017365.1,ENST00000367078,ENSP00000356045.3,MANE Select,1,207088860,207099993,+
491,GeneID:726,ENSG00000149260,HGNC:1482,CAPN5,calpain 5,NM_004055,NP_004046.2,ENST00000648180,ENSP00000498132.1,MANE Select,11,77066971,77126155,+
492,GeneID:727,ENSG00000106804,HGNC:1331,C5,complement C5,NM_001735,NP_001726.2,ENST00000223642,ENSP00000223642.1,MANE Select,9,120952335,121050275,-
493,GeneID:728,ENSG00000197405,HGNC:1338,C5AR1,complement C5a receptor 1,NM_001736,NP_001727.2,ENST00000355085,ENSP00000347197.2,MANE Select,19,47309861,47322066,+
494,GeneID:729,ENSG00000039537,HGNC:1339,C6,complement C6,NM_000065,NP_000056.2,ENST00000337836,ENSP00000338861.5,MANE Select,5,41142116,41213532,-
495,GeneID:730,ENSG00000112936,HGNC:1346,C7,complement C7,NM_000587,NP_000578.2,ENST00000313164,ENSP00000322061.9,MANE Select,5,40909497,40984643,+
496,GeneID:731,ENSG00000157131,HGNC:1352,C8A,complement C8 alpha chain,NM_000562,NP_000553.1,ENST00000361249,ENSP00000354458.3,MANE Select,1,56854797,56918223,+
497,GeneID:732,ENSG00000021852,HGNC:1353,C8B,complement C8 beta chain,NM_000066,NP_000057.3,ENST00000371237,ENSP00000360281.4,MANE Select,1,56929207,56966015,-
498,GeneID:733,ENSG00000176919,HGNC:1354,C8G,complement C8 gamma chain,NM_000606,NP_000597.2,ENST00000371634,ENSP00000360697.3,MANE Select,9,136945243,136946975,+
499,GeneID:734,ENSG00000164823,HGNC:1355,OSGIN2,oxidative stress induced growth inhibitor family member 2,NM_001126111,NP_001119583.1,ENST00000451899,ENSP00000396445.2,MANE Select,8,89902570,89927888,+
500,GeneID:735,ENSG00000113600,HGNC:1358,C9,complement C9,NM_001737,NP_001728.1,ENST00000263408,ENSP00000263408.4,MANE Select,5,39284140,39364495,-
501,GeneID:738,ENSG00000149823,HGNC:1172,VPS51,VPS51 subunit of GARP complex,NM_013265,NP_037397.2,ENST00000279281,ENSP00000279281.3,MANE Select,11,65096214,65111862,+
502,GeneID:740,ENSG00000149792,HGNC:1176,MRPL49,mitochondrial ribosomal protein L49,NM_004927,NP_004918.1,ENST00000279242,ENSP00000279242.2,MANE Select,11,65122321,65127371,+
503,GeneID:741,ENSG00000174276,HGNC:1177,ZNHIT2,zinc finger HIT-type containing 2,NM_014205,NP_055020.1,ENST00000310597,ENSP00000308548.4,MANE Select,11,65116403,65117701,-
504,GeneID:744,ENSG00000066382,HGNC:1180,MPPED2,metallophosphoesterase domain containing 2,NM_001584,NP_001575.1,ENST00000358117,ENSP00000350833.4,MANE Select,11,30410224,30586353,-
505,GeneID:745,ENSG00000124920,HGNC:1181,MYRF,myelin regulatory factor,NM_001127392,NP_001120864.1,ENST00000278836,ENSP00000278836.4,MANE Select,11,61752636,61788518,+
506,GeneID:746,ENSG00000134825,HGNC:1164,TMEM258,transmembrane protein 258,NM_014206,NP_055021.1,ENST00000537328,ENSP00000443216.1,MANE Select,11,61788949,61792599,-
507,GeneID:747,ENSG00000134780,HGNC:1165,DAGLA,diacylglycerol lipase alpha,NM_006133,NP_006124.1,ENST00000257215,ENSP00000257215.5,MANE Select,11,61680391,61747001,+
508,GeneID:752,ENSG00000184922,HGNC:1212,FMNL1,formin like 1,NM_005892,NP_005883.3,ENST00000331495,ENSP00000329219.2,MANE Select,17,45221885,45247318,+
509,GeneID:754,ENSG00000183255,HGNC:13524,PTTG1IP,PTTG1 interacting protein,NM_004339,NP_004330.1,ENST00000330938,ENSP00000328325.3,MANE Select,21,44849598,44873690,-
510,GeneID:755,ENSG00000160226,HGNC:1260,CFAP410,cilia and flagella associated protein 410,NM_004928,NP_004919.1,ENST00000339818,ENSP00000344566.4,MANE Select,21,44328944,44339390,-
511,GeneID:757,ENSG00000142188,HGNC:1280,TMEM50B,transmembrane protein 50B,NM_006134,NP_006125.2,ENST00000542230,ENSP00000439768.2,MANE Select,21,33449141,33479974,-
512,GeneID:758,ENSG00000186732,HGNC:1306,MPPED1,metallophosphoesterase domain containing 1,NM_001044370,NP_001037835.1,ENST00000443721,ENSP00000400686.1,MANE Select,22,43412014,43507848,+
513,GeneID:759,ENSG00000133742,HGNC:1368,CA1,carbonic anhydrase 1,NM_001128831,NP_001122303.1,ENST00000523022,ENSP00000429798.1,MANE Select,8,85327608,85378113,-
514,GeneID:760,ENSG00000104267,HGNC:1373,CA2,carbonic anhydrase 2,NM_000067,NP_000058.1,ENST00000285379,ENSP00000285379.4,MANE Select,8,85464007,85481493,+
515,GeneID:761,ENSG00000164879,HGNC:1374,CA3,carbonic anhydrase 3,NM_005181,NP_005172.1,ENST00000285381,ENSP00000285381.2,MANE Select,8,85438859,85449040,+
516,GeneID:762,ENSG00000167434,HGNC:1375,CA4,carbonic anhydrase 4,NM_000717,NP_000708.1,ENST00000300900,ENSP00000300900.3,MANE Select,17,60149973,60159546,+
517,GeneID:763,ENSG00000174990,HGNC:1377,CA5A,carbonic anhydrase 5A,NM_001739,NP_001730.1,ENST00000649794,ENSP00000498065.2,MANE Select,16,87888013,87936529,-
518,GeneID:765,ENSG00000131686,HGNC:1380,CA6,carbonic anhydrase 6,NM_001215,NP_001206.2,ENST00000377443,ENSP00000366662.2,MANE Select,1,8945868,8975092,+
519,GeneID:766,ENSG00000168748,HGNC:1381,CA7,carbonic anhydrase 7,NM_005182,NP_005173.1,ENST00000338437,ENSP00000345659.2,MANE Select,16,66844414,66854147,+
520,GeneID:767,ENSG00000178538,HGNC:1382,CA8,carbonic anhydrase 8,NM_004056,NP_004047.3,ENST00000317995,ENSP00000314407.4,MANE Select,8,60185412,60281400,-
521,GeneID:768,ENSG00000107159,HGNC:1383,CA9,carbonic anhydrase 9,NM_001216,NP_001207.2,ENST00000378357,ENSP00000367608.4,MANE Select,9,35673928,35681159,+
522,GeneID:770,ENSG00000063180,HGNC:1370,CA11,carbonic anhydrase 11,NM_001217,NP_001208.2,ENST00000084798,ENSP00000084798.3,MANE Select,19,48637946,48646187,-
523,GeneID:771,ENSG00000074410,HGNC:1371,CA12,carbonic anhydrase 12,NM_001218,NP_001209.1,ENST00000178638,ENSP00000178638.3,MANE Select,15,63321378,63381846,-
524,GeneID:773,ENSG00000141837,HGNC:1388,CACNA1A,calcium voltage-gated channel subunit alpha1 A,NM_001127222,NP_001120694.1,ENST00000360228,ENSP00000353362.5,MANE Select,19,13206442,13506479,-
525,GeneID:774,ENSG00000148408,HGNC:1389,CACNA1B,calcium voltage-gated channel subunit alpha1 B,NM_000718,NP_000709.1,ENST00000371372,ENSP00000360423.1,MANE Select,9,137877782,138124619,+
526,GeneID:775,ENSG00000151067,HGNC:1390,CACNA1C,calcium voltage-gated channel subunit alpha1 C,NM_001167623,NP_001161095.1,ENST00000399603,ENSP00000382512.1,MANE Plus Clinical,12,2052987,2697950,+
527,GeneID:775,ENSG00000151067,HGNC:1390,CACNA1C,calcium voltage-gated channel subunit alpha1 C,NM_000719,NP_000710.5,ENST00000399655,ENSP00000382563.1,MANE Select,12,2052987,2697950,+
528,GeneID:776,ENSG00000157388,HGNC:1391,CACNA1D,calcium voltage-gated channel subunit alpha1 D,NM_000720,NP_000711.1,ENST00000288139,ENSP00000288139.3,MANE Plus Clinical,3,53494611,53813733,+
529,GeneID:776,ENSG00000157388,HGNC:1391,CACNA1D,calcium voltage-gated channel subunit alpha1 D,NM_001128840,NP_001122312.1,ENST00000350061,ENSP00000288133.5,MANE Select,3,53494611,53813733,+
530,GeneID:777,ENSG00000198216,HGNC:1392,CACNA1E,calcium voltage-gated channel subunit alpha1 E,NM_001205293,NP_001192222.1,ENST00000367573,ENSP00000356545.2,MANE Select,1,181483517,181808084,+
531,GeneID:778,ENSG00000102001,HGNC:1393,CACNA1F,calcium voltage-gated channel subunit alpha1 F,NM_001256789,NP_001243718.1,ENST00000323022,ENSP00000321618.6,MANE Select,X,49205063,49233340,-
532,GeneID:779,ENSG00000081248,HGNC:1397,CACNA1S,calcium voltage-gated channel subunit alpha1 S,NM_000069,NP_000060.2,ENST00000362061,ENSP00000355192.3,MANE Select,1,201039512,201112426,-
533,GeneID:780,ENSG00000204580,HGNC:2730,DDR1,discoidin domain receptor tyrosine kinase 1,NM_001297654,NP_001284583.1,ENST00000376568,ENSP00000365752.3,MANE Select,6,30884519,30900156,+
534,GeneID:781,ENSG00000153956,HGNC:1399,CACNA2D1,calcium voltage-gated channel auxiliary subunit alpha2delta 1,NM_000722,NP_000713.2,ENST00000356860,ENSP00000349320.3,MANE Select,7,81946444,82443777,-
535,GeneID:782,ENSG00000067191,HGNC:1401,CACNB1,calcium voltage-gated channel auxiliary subunit beta 1,NM_000723,NP_000714.3,ENST00000394303,ENSP00000377840.3,MANE Select,17,39173453,39197669,-
536,GeneID:783,ENSG00000165995,HGNC:1402,CACNB2,calcium voltage-gated channel auxiliary subunit beta 2,NM_201596,NP_963890.2,ENST00000324631,ENSP00000320025.8,MANE Select,10,18140424,18543557,+
537,GeneID:783,ENSG00000165995,HGNC:1402,CACNB2,calcium voltage-gated channel auxiliary subunit beta 2,NM_201590,NP_963884.2,ENST00000377329,ENSP00000366546.4,MANE Plus Clinical,10,18340709,18543557,+
538,GeneID:784,ENSG00000167535,HGNC:1403,CACNB3,calcium voltage-gated channel auxiliary subunit beta 3,NM_000725,NP_000716.2,ENST00000301050,ENSP00000301050.2,MANE Select,12,48818496,48828941,+
539,GeneID:785,ENSG00000182389,HGNC:1404,CACNB4,calcium voltage-gated channel auxiliary subunit beta 4,NM_000726,NP_000717.2,ENST00000539935,ENSP00000438949.1,MANE Select,2,151832771,152099044,-
540,GeneID:786,ENSG00000108878,HGNC:1405,CACNG1,calcium voltage-gated channel auxiliary subunit gamma 1,NM_000727,NP_000718.1,ENST00000226021,ENSP00000226021.3,MANE Select,17,67044554,67056797,+
541,GeneID:788,ENSG00000178537,HGNC:1421,SLC25A20,solute carrier family 25 member 20,NM_000387,NP_000378.1,ENST00000319017,ENSP00000326305.4,MANE Select,3,48856926,48898882,-
542,GeneID:790,ENSG00000084774,HGNC:1424,CAD,"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase",NM_004341,NP_004332.2,ENST00000264705,ENSP00000264705.3,MANE Select,2,27217369,27243943,+
543,GeneID:793,ENSG00000104327,HGNC:1434,CALB1,calbindin 1,NM_004929,NP_004920.1,ENST00000265431,ENSP00000265431.3,MANE Select,8,90058608,90082879,-
544,GeneID:794,ENSG00000172137,HGNC:1435,CALB2,calbindin 2,NM_001740,NP_001731.2,ENST00000302628,ENSP00000307508.4,MANE Select,16,71358723,71390433,+
545,GeneID:795,ENSG00000169906,HGNC:1436,S100G,S100 calcium binding protein G,NM_004057,NP_004048.1,ENST00000380200,ENSP00000369547.3,MANE Select,X,16650158,16654670,+
546,GeneID:796,ENSG00000110680,HGNC:1437,CALCA,calcitonin related polypeptide alpha,NM_001741,NP_001732.1,ENST00000331587,ENSP00000331746.4,MANE Select,11,14968501,14972351,-
